2017-07-09,13:20,13:35,AWAY,FSSO,Nationals
2017-07-14,19:20,19:35,HOME,FSSO,Diamondbacks
2017-07-15,18:55,19:10,HOME,FSSO,Diamondbacks
2017-07-16,13:20,13:35,HOME,FSSO,Diamondbacks
2017-07-17,19:20,19:35,HOME,FSSE,Cubs
2017-07-18,19:20,19:35,HOME,FSSE,Cubs
2017-07-19,11:55,12:10,HOME,FSSE,Cubs
2017-07-20,21:55,22:10,AWAY,FSSE,Dodgers
2017-07-21,21:55,22:10,AWAY,FSSO,Dodgers
2017-07-22,20:55,21:10,AWAY,FSSO,Dodgers
2017-07-23,15:55,16:10,AWAY,FSSO,Dodgers
2017-07-24,21:25,21:40,AWAY,FSSE,Diamondbacks
2017-07-25,21:25,21:40,AWAY,FSSE,Diamondbacks
2017-07-26,15:25,15:40,AWAY,FSSE,Diamondbacks
2017-07-28,18:50,19:05,AWAY,FSSO,Phillies
2017-07-29,18:50,19:05,AWAY,FSSO,Phillies
2017-07-30,13:20,13:35,AWAY,FSSO,Phillies
2017-07-31,12:20,12:35,AWAY,FSSE,Phillies
2017-08-01,19:20,19:35,HOME,FSSE,Dodgers
2017-08-02,19:20,19:35,HOME,FSSE,Dodgers
2017-08-03,19:20,19:35,HOME,FSSE,Dodgers
2017-08-04,19:20,19:35,HOME,FSSO,Marlins
2017-08-05,18:55,19:10,HOME,FSSO,Marlins
2017-08-06,13:20,13:35,HOME,FSSO,Marlins
2017-08-08,19:20,19:35,HOME,FSSE,Phillies
2017-08-09,19:20,19:35,HOME,FSSE,Phillies
2017-08-11,20:00,20:15,AWAY,FSSO,Cardinals
2017-08-12,19:00,19:15,AWAY,FSSO,Cardinals
2017-08-13,14:00,14:15,AWAY,FSSO,Cardinals
2017-08-14,20:25,20:40,AWAY,FSSE,Rockies
2017-08-15,20:25,20:40,AWAY,FSSE,Rockies
2017-08-16,20:25,20:40,AWAY,FSSE,Rockies
2017-08-17,14:55,15:10,AWAY,FSSE,Rockies
2017-08-18,19:20,19:35,HOME,FSSO,Reds
2017-08-19,18:55,19:10,HOME,FSSO,Reds
2017-08-20,13:20,13:35,HOME,FSSO,Reds
2017-08-21,19:20,19:35,HOME,FSSE,Mariners
2017-08-22,19:20,19:35,HOME,FSSE,Mariners
2017-08-23,19:20,19:35,HOME,FSSE,Mariners
2017-08-25,19:20,19:35,HOME,FSSO,Rockies
2017-08-26,18:55,19:10,HOME,FSSO,Rockies
2017-08-27,13:20,13:35,HOME,FSSO,Rockies
2017-08-28,18:50,19:05,AWAY,FSSE,Phillies
2017-08-29,18:50,19:05,AWAY,FSSE,Phillies
2017-08-30,12:50,13:05,AWAY,FSSE,Phillies
2017-08-31,19:50,20:05,AWAY,FSSE,Cubs
2017-09-01,14:05,14:20,AWAY,FSSO,Cubs
2017-09-02,14:05,14:20,AWAY,FSSO,Cubs
2017-09-03,14:05,14:20,AWAY,FSSO,Cubs
2017-09-04,19:20,19:35,HOME,FSSE,Rangers
2017-09-05,19:20,19:35,HOME,FSSE,Rangers
2017-09-06,19:20,19:35,HOME,FSSE,Rangers
2017-09-07,19:20,19:35,HOME,FSSE,Marlins
2017-09-08,19:20,19:35,HOME,FSSO,Marlins
2017-09-09,18:55,19:10,HOME,FSSO,Marlins
2017-09-10,13:20,13:35,HOME,FSSO,Marlins
2017-09-12,18:50,19:05,AWAY,FSSE,Nationals
2017-09-13,18:50,19:05,AWAY,FSSE,Nationals
2017-09-14,18:50,19:05,AWAY,FSSE,Nationals
2017-09-15,19:20,19:35,HOME,FSSO,Mets
2017-09-16,18:55,19:10,HOME,FSSO,Mets
2017-09-17,13:20,13:35,HOME,FSSO,Mets
2017-09-19,19:20,19:35,AWAY,FSSE,Nationals
2017-09-20,19:20,19:35,AWAY,FSSE,Nationals
2017-09-21,19:20,19:35,AWAY,FSSE,Nationals
2017-09-22,19:20,19:35,HOME,FSSO,Phillies
2017-09-23,18:55,19:10,HOME,FSSO,Phillies
2017-09-24,13:20,13:35,HOME,FSSO,Phillies
2017-09-25,18:55,19:10,AWAY,FSSE,Mets
2017-09-26,18:55,19:10,AWAY,FSSE,Mets
2017-09-27,18:55,19:10,AWAY,FSSE,Mets
2017-09-28,18:55,19:10,AWAY,FSSE,Marlins
2017-09-29,18:55,19:10,AWAY,FSSO,Marlins
2017-09-30,18:55,19:10,AWAY,FSSO,Marlins
2017-10-01,14:55,15:10,AWAY,FSSO,Marlins
